,review,target
0,"Hi, i bought this top in a couple of colors. i wear a 12/14 or xl. i bought these in a xl. they are huge. but i liked them well enough and returned them for larges and they fit beautifully.",1
1,"These are very flattering thick leggings that would keep you warm in the fall and winter, but when i pulled them up i got a big hole in the seam at the waistband at my first trip to the bathroom! obviously you might expect a rip if they were too tight, but these fit perfectly (even on the looser side) and ripped effortlessly. pretty embarrassing given the price! bringing these back! 

for reference ( if you decide to try your luck), i am 5'7"", 128# and my normal size s was perfect.",0
2,"Great dress, nicely structured, but the fabric is very thick and since it's lined, it's a very ""warm"" dress. not something you would wear in the spring, especially in the summer. ordered in petite, so hem length was perfect on me (i'm 5').",1
3,"I ordered this dress to wear for summer weddings this year. i am both surprised and excited that it fits.

i normally wear an 18, sometimes a 16. stores like retailer are a place i go to admire fun cloths, but not to actually shop. i was concerned that the xl was going to be a fake xl- this happens sometimes. a brand only makes clothing up to a 12, so they're xl is really a 12. but not so! i feel like the xl could fit a 16 - 20. the l would probably fit a 16 as well.

this dress fits in",0
4,I tried this top on before it went on sale but thought the price was too high. as soon as it went on sale i scooped it up and i'm glad i did. i'm usually always a small in retailer tops and this was no exception. i'm tall and thin with a large bust but this top does not pull or bind in the chest because it's cut on the bias. it is a little low but i've been wearing it for parties. it might be too low for work depending on the setting. i don't usually wear green but this is a very muted and pretty,1
5,"I liked this so much that i bought it in all three colors, but send berry color back. the top is flattering and looks good. i did wash it at home, it seems to shrink a bit. but i ordered up for longer length. i really like the style. it is perfect to wear by itself or as a layer. perfect for fall and winter.",1
6,Comfy and different. almost like a sweater fabric.,1
7,"I saw this on a mannequin at the store and was instantly drawn in by all the beautiful blue lace and the overall design. however, when i tried it on, i personally found a few things that just didn't work for me:
____________
pros:
- blue lace is lovely throughout, nicely done.
- there's a little snap closure at the front of the dress where the fabric overlaps at the bra cups. i can only assume it's to make it easier to get the dress on. it's a nice little detail, although not sure if really",1
8,"I wanted to love this top. the neckline made it look strange on me. if i untied it, it looked sloppy. so, it went back. i love the print though.",0
9,Charming dress! fit perfectly with great movement through back and chest area. flattering length(s) with just the right amount of fabric. inside dress sheath or slip dress. zips to waist for fit. i am smitten with the dress - just love it!,1
10,I think these are a cute pant. they run large in the waist/seat area but not in the length. i'm 5'4 and this gathered at my ankle. i like them even though i have to keep hoisting them up. keep in mind the tie to tighten the waist does not stay,1
11,"I really love the look of this sweater and it seems to be of great quality. i will say the fit is a bit odd. the sweater is on the short side but is very roomy through the neck and shoulders. i ordered a small (5'6""; 120lbs) and would change for an xs but i'm afraid it would be cropped. i'm keeping it but wish it had a more uniform fit.
really beautify workmanship though.",1
12,"This dress was overall cute, but you have to have an olive/darker complexion or a nice tan to really pull it off because it is such a pale pink. i'm very fare, but normally can do light punks, but this one just clashed. it does run pretty true to size. if you're on the edge between a smaller or bigger size, i recommend the smaller size however. hope this helps y'all!",1
13,"No need to be on the fence about this top, it's lovely! what you see pictured here, is exactly what you get, even the color of the top is 100% accurate. for reference i'm usually an xl/16, apple shape, 40 c bust, and this xl does not cling at all to me, so you may even be able to size down. the drape of the clipdot fabric is flattering, and thick enough not to need a cami. all of the fabrics used are nice and soft... and the details! it's going to be a beautiful spring!",1
14,I love how comfortable this fits and the fantastic pops of color. goes with just about every slip and tank dress i own! a perfect lightweight dress or layering vest with my hot weather wardrobe. can't wait to take this with me on vacation!,1
15,"I wanted to love this. however, the fit was funky and the colors were muted. this is definitely something you must try on in the store. too risky to buy online due to weird fit.",0
16,"I really wanted to love this shirt. the snowflake and stripe design is really cute, and the fabric is of nice quality. it's a very loose fit, which i would've been willing to work with, but... as mentioned in previous reviews, the shoulder seam rests in an odd place on your upper arm, and there are little bumps in the fabric on the arms that appear similar to what happens if you leave a shirt on a wire hanger too long. it looks like you have nubby little wings coming out of your arms. not attrac",0
